date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-09-15,2019,0,0,DEN,CHI,1428.73340426133,1554.22203086172,0.41381885704756305,14,16,0
2019-09-15,2019,0,0,LAR,NO,1611.2527156438,1616.75446431035,0.5847975451665666,27,9,1
2019-09-15,2019,0,0,ATL,PHI,1499.42372277767,1589.200033619,0.46440434137888753,24,20,1
2019-09-16,2019,0,0,NYJ,CLE,1377.99930635302,1421.31981397536,0.5311588680791258,3,23,0
2019-09-19,2019,0,0,JAX,TEN,1431.14271155562,1539.81897663855,0.43747382466748225,20,7,1
2019-09-22,2019,0,0,KC,BAL,1639.90875999014,1604.36062171603,0.6407916104033325,33,28,1
2019-09-22,2019,0,0,BUF,CIN,1485.88701536035,1389.76159956327,0.7165703433881626,21,17,1
2019-09-22,2019,0,0,PHI,DET,1571.76350496555,1504.71879316841,0.6813777159089712,24,27,0
2019-09-22,2019,0,0,DAL,MIA,1580.75267121279,1371.21444164375,0.8292567833682122,31,6,1
2019-09-22,2019,0,0,NE,NYJ,1677.30113090138,1345.33491936636,0.9076372640184991,30,14,1
2019-09-22,2019,0,0,MIN,OAK,1541.12867786265,1408.11137665204,0.7576574620065255,34,14,1
2019-09-22,2019,0,0,IND,ATL,1560.75393730653,1516.86025143112,0.6517731517758779,27,24,1
2019-09-22,2019,0,0,GB,DEN,1507.99464875202,1419.88418247957,0.7071070102530641,27,16,1
2019-09-22,2019,0,0,ARI,CAR,1379.76243769626,1476.02669457636,0.4551281678954752,20,38,0
2019-09-22,2019,0,0,TB,NYG,1439.76273979713,1397.22163097049,0.6500039077038455,31,32,0
2019-09-22,2019,0,0,SEA,NO,1581.22003015962,1592.94754840432,0.5760700542310849,27,33,0
2019-09-22,2019,0,0,SF,PIT,1493.50300877245,1538.91174286514,0.5281642537223823,24,20,1
2019-09-22,2019,0,0,LAC,HOU,1583.70304942369,1513.60572962331,0.6851804650994758,20,27,0
2019-09-22,2019,0,0,CLE,LAR,1453.98420096202,1635.05963154983,0.33890361733235375,13,20,0
2019-09-23,2019,0,0,WSH,CHI,1414.22795853294,1563.07125264348,0.3816287334631154,15,31,0
2019-09-26,2019,0,0,GB,PHI,1521.60374910091,1551.66540903822,0.5501115103543194,27,34,0
2019-09-29,2019,0,0,MIA,LAC,1361.32285598972,1553.34283903757,0.32493456601386533,10,30,0
2019-09-29,2019,0,0,DET,KC,1524.81688909574,1652.21846175305,0.4111502526180228,30,34,0
2019-09-29,2019,0,0,NYG,WSH,1406.69571365219,1393.39712158012,0.6108111026305229,24,3,1
2019-09-29,2019,0,0,HOU,CAR,1543.96594000943,1502.45309073862,0.6486561180316924,10,16,0
2019-09-29,2019,0,0,BUF,NE,1494.38768499845,1681.73479150744,0.33086252864591703,10,16,0
2019-09-29,2019,0,0,IND,OAK,1569.95348444793,1394.57354231565,0.7995906971312478,24,31,0
2019-09-29,2019,0,0,BAL,CLE,1592.05091995311,1440.59597920863,0.7766092416318191,25,40,0
2019-09-29,2019,0,0,ATL,TEN,1507.66070428972,1509.52681443155,0.5898699741381169,10,24,0
2019-09-29,2019,0,0,LAR,TB,1648.44785330322,1430.28865711543,0.8361690031716856,40,55,0
2019-09-29,2019,0,0,ARI,SEA,1353.336041534,1558.24406118126,0.30887686558674077,10,27,0
